"ZT","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1","CCA1"
22,9.50900000000001,3.63400000000001,13.24,6.11900000000003,9.048,3.92100000000005,11.09,13.696,4.56900000000007,10.72,17.003,4.06200000000001,5.22800000000007,8.43299999999999,5.178,8.90300000000002,8.95400000000006,8.57500000000005,5.69100000000003,9.70800000000008,11.197,9.36000000000001,11.585,9.26600000000008,3.24800000000005,6.178,8.07600000000002,6.42100000000005,12.986,5.66600000000005,12.938,8.57900000000006
24,11.4286666666668,4.66966666666679,21.5366666666667,7.39666666666676,11.8926666666667,5.14466666666669,14.5966666666667,19.0726666666667,4.99966666666671,14.6136666666667,24.4606666666667,4.47166666666669,5.57566666666673,10.7546666666667,5.40266666666673,9.94766666666669,9.98866666666675,10.4426666666667,7.03666666666675,12.4436666666668,14.4786666666668,11.3386666666668,13.6626666666667,12.3296666666668,4.87966666666671,9.47766666666678,10.9106666666668,7.57366666666678,16.8216666666667,7.82666666666671,18.4576666666668,10.2026666666668
26,15.3606666666667,6.24266666666665,35.1286666666667,9.66966666666667,16.5346666666667,6.52266666666674,19.8726666666666,26.5926666666667,6.06966666666665,20.9256666666666,34.5926666666667,5.30666666666673,7.76266666666675,15.4176666666667,6.2356666666667,13.2056666666667,12.4826666666667,13.6356666666667,8.64666666666665,16.8326666666667,22.0336666666667,16.0816666666667,18.0086666666667,15.3536666666666,7.37666666666667,14.7796666666667,15.4836666666666,9.92466666666667,21.9346666666667,11.4146666666667,29.5246666666667,13.0626666666667
28,19.6536666666667,8.24866666666674,44.7956666666666,11.6986666666667,22.1116666666667,8.63266666666664,24.4356666666666,33.3106666666666,7.44566666666674,25.1026666666667,43.2106666666667,6.02966666666669,9.76266666666663,20.3436666666666,8.88866666666672,17.2856666666667,14.9206666666666,17.1946666666666,10.2236666666666,21.7946666666667,26.5216666666666,19.8906666666667,23.9566666666667,17.9866666666667,8.99766666666665,18.9756666666667,19.6966666666667,13.1896666666667,28.6066666666667,14.0076666666666,34.5836666666667,16.9486666666667
30,22.9299999999999,9.39599999999996,45.4879999999999,12.831,25.432,9.73000000000002,26.228,34.871,8.50199999999995,26.747,46.4549999999999,6.80700000000002,11.5949999999999,23.482,8.47799999999995,21.713,17.5319999999999,20.179,11.8399999999999,26.718,29.0359999999999,23.261,26.475,19.275,9.81499999999994,20.0749999999999,22.982,15.552,32.269,15.6379999999999,35.3489999999999,19.846
32,24.6866666666667,9.63066666666668,39.9786666666666,13.3896666666667,26.3246666666666,9.71066666666673,26.2936666666667,33.3996666666667,9.89266666666674,25.7886666666667,43.5446666666667,7.39566666666667,14.6306666666667,24.4806666666667,8.99366666666674,23.9366666666667,19.0416666666666,24.0266666666666,13.1016666666667,26.8646666666667,29.7746666666667,24.1106666666667,27.6626666666667,20.1646666666667,9.80766666666671,19.2276666666667,24.1276666666666,17.4746666666667,31.8276666666667,14.9776666666667,32.8686666666667,21.7036666666667
34,24.0326666666667,9.18566666666675,35.4906666666667,13.4816666666667,25.9556666666667,9.72966666666673,25.0126666666667,30.1266666666667,11.0896666666667,24.4866666666667,39.0216666666666,7.89766666666674,15.7946666666667,24.8156666666667,9.06566666666674,24.3786666666667,19.5596666666667,22.7366666666667,13.5166666666667,24.3836666666667,25.8346666666667,23.7716666666666,27.4956666666667,19.9906666666667,9.29166666666674,17.1286666666667,23.4566666666667,17.3446666666667,30.2686666666667,13.6696666666667,28.7346666666667,22.0416666666667
36,21.6249999999999,7.95299999999997,30.8019999999999,12.1059999999999,22.3019999999999,8.72699999999998,22.7379999999999,26.7069999999999,10.6079999999999,23.501,34.6539999999999,7.4799999999999,14.372,22.747,8.40999999999997,22.7299999999999,18.4019999999999,21.2809999999999,13.0079999999999,21.4119999999999,22.2829999999999,21.9189999999999,25.4329999999999,18.6829999999999,8.27799999999991,14.8979999999999,21.2439999999999,16.3309999999999,27.8789999999999,12.04,24.1159999999999,19.6569999999999
38,19.6266666666667,7.40266666666662,28.3116666666666,11.0556666666666,21.4216666666666,8.50866666666661,20.3976666666666,23.1266666666667,10.1826666666667,22.0036666666666,32.9096666666667,7.4906666666667,14.4746666666666,21.1746666666667,8.5186666666666,20.7566666666667,17.6176666666667,23.3176666666667,12.5366666666666,20.3926666666666,19.8736666666666,21.0946666666666,23.7466666666667,17.4846666666666,6.88566666666668,13.0546666666667,18.3676666666667,14.3796666666667,25.3656666666667,12.3456666666666,21.7626666666666,17.6036666666666
40,17.752,6.31700000000001,23.665,9.78899999999999,19.766,8.00400000000002,17.843,20.29,8.97699999999998,19.963,30.2249999999999,7.03399999999999,12.9699999999999,19.919,7.59899999999993,18.793,16.356,22.106,11.679,19.968,19.1569999999999,19.121,21.49,15.544,6.08899999999994,14.0309999999999,15.735,13.14,22.509,14.107,20.259,16.8449999999999
